"2676","18","7x cap reached","approved","0.000000000042746250983328","out","blockchain","2022-04-03 13:00:02","2022-04-03 13:00:02",NULL,"0"
"2699","18","plan activated","approved","1000","out","Cryptsence","2022-04-03 14:24:01","2022-04-03 14:24:01",NULL,"0"
"2708","18","indirect commission L6","approved","0.5","in","Kamsyangel","2022-04-03 15:54:33","2022-04-03 15:54:33",NULL,"0"
"2720","18","indirect commission L6","approved","5","in","Samuel","2022-04-03 16:54:31","2022-04-03 16:54:31",NULL,"0"
"2734","18","indirect commission L5","approved","5","in","Amarz7j3o9y","2022-04-03 17:29:05","2022-04-03 17:29:05",NULL,"0"
"2741","18","indirect commission L5","approved","0.5","in","Amarz7j3o9y","2022-04-03 17:53:10","2022-04-03 17:53:10",NULL,"0"
"2748","18","indirect commission L5","approved","0.5","in","Amarz7j3o9y","2022-04-03 17:53:39","2022-04-03 17:53:39",NULL,"0"
"2768","18","indirect commission L5","approved","100","in","bestgift","2022-04-03 23:14:25","2022-04-03 23:14:25",NULL,"0"
"2774","18","indirect commission L4","approved","10","in","Debest","2022-04-03 23:18:53","2022-04-03 23:18:53",NULL,"0"
"2995","18","direct commission","approved","100","in","skyline","2022-04-04 08:46:23","2022-04-04 08:46:23",NULL,"0"
"2997","18","direct commission","approved","50","in","skyline","2022-04-04 08:46:54","2022-04-04 08:46:54",NULL,"0"
"3006","18","indirect commission L1","approved","50","in","ALBERT88","2022-04-04 09:22:39","2022-04-04 09:22:39",NULL,"0"
"3021","18","indirect commission L5","approved","30","in","Efic007","2022-04-04 19:06:42","2022-04-04 19:06:42",NULL,"0"
"3050","18","indirect commission L6","approved","30","in","Adagold1","2022-04-04 21:54:43","2022-04-04 21:54:43",NULL,"0"
"3066","18","indirect commission L5","approved","0.5","in","Amazing","2022-04-04 22:47:38","2022-04-04 22:47:38",NULL,"0"
"3073","18","indirect commission L5","approved","2","in","Amazing","2022-04-04 22:47:58","2022-04-04 22:47:58",NULL,"0"
"3080","18","indirect commission L5","approved","5","in","Amazing","2022-04-04 22:48:37","2022-04-04 22:48:37",NULL,"0"
